client_id,recency_days,frequency,monetary_value,predicted_transactions_1yr,expected_avg_profit,clv_1yr,cluster,segment_name
13,33,156,549950.2999999999,78.0,3525.3224358974358,274975.15,0,Standard Dormant Standard
15,33,106,121432.30000000002,53.0,1145.5877358490568,60716.15000000001,0,Standard Dormant Standard
30,33,140,354856.6,70.0,2534.69,177428.30000000002,0,Standard Dormant Standard
32,33,351,1761404.3999999994,175.5,5018.246153846152,880702.1999999997,1,Premium Active High-Value
47,33,399,414927.69999999984,199.5,1039.9190476190472,207463.84999999992,4,Standard Low-Activity Standard
49,33,71,327942.9,35.5,4618.914084507042,163971.45,0,Standard Dormant Standard
64,33,150,159865.69999999998,75.0,1065.7713333333331,79932.84999999999,0,Standard Dormant Standard
66,33,255,1009432.6999999998,127.5,3958.5596078431367,504716.3499999999,4,Standard Low-Activity Standard
81,33,245,478821.9,122.5,1954.3751020408165,239410.95,4,Standard Low-Activity Standard
83,33,496,1382682.6999999995,0.0,0.0,0.0,2,Standard Intermittent High-Value
98,33,431,725598.3000000003,215.5,1683.522737819026,362799.15000000014,4,Standard Low-Activity Standard
100,33,211,1239517.5999999996,105.5,5874.490995260661,619758.7999999998,1,Premium Active High-Value
130,33,241,794900.5,120.5,3298.3423236514523,397450.25,4,Standard Low-Activity Standard
132,33,209,751639.3000000002,104.5,3596.3602870813406,375819.6500000001,4,Standard Low-Activity Standard
147,33,334,338908.19999999984,167.0,1014.695209580838,169454.09999999992,4,Standard Low-Activity Standard
149,33,70,51534.1,35.0,736.2014285714286,25767.05,0,Standard Dormant Standard
164,33,181,736250.2999999998,90.5,4067.681215469612,368125.1499999999,0,Standard Dormant Standard
181,33,394,373456.0000000002,197.0,947.8578680203052,186728.0000000001,4,Standard Low-Activity Standard
183,33,196,210060.4,98.0,1071.7367346938777,105030.2,0,Standard Dormant Standard
198,62,51,157152.5000000001,0.0,0.0,0.0,0,Standard Dormant Standard
215,33,274,1481270.5999999994,137.0,5406.097080291968,740635.2999999997,1,Premium Active High-Value
